track_name,valence,duration_ms,album_name,album_release_year,tempo,danceability,lyrical_density,energy
Earned It (Fifty Shades Of Grey),0.4,277707,Beauty Behind The Madness,2016,119.839,0.647,0.0363,0.291
In The Night,0.508,235627,Beauty Behind The Madness,2016,112.122,0.4,0.125,0.673
As You Are,0.0539,340493,Beauty Behind The Madness,2016,173.661,0.371,0.0574,0.329
Dark Times,0.27,260640,Beauty Behind The Madness,2016,132.608,0.501,0.0752,0.403
Prisoner,0.329,274960,Beauty Behind The Madness,2016,135.016,0.55,0.0398,0.404
Angel,0.335,377627,Beauty Behind The Madness,2016,127.956,0.626,0.0435,0.583
Can't Feel My Face - Martin Garrix Remix,0.136,253933,Beauty Behind The Madness,2016,128.025,0.605,0.101,0.714
The Hills - Remix,0.33,263960,Beauty Behind The Madness,2016,112.927,0.65,0.184,0.632
The Hills - Remix,0.186,243493,Beauty Behind The Madness,2016,110.463,0.409,0.108,0.602
Professional,0.234,368720,Kiss Land (Deluxe),2013,120.087,0.405,0.0618,0.619
The Town,0.191,307347,Kiss Land (Deluxe),2013,139.964,0.625,0.0369,0.523
Adaptation,0.623,283933,Kiss Land (Deluxe),2013,114.96,0.642,0.0691,0.793
Love In The Sky,0.347,267920,Kiss Land (Deluxe),2013,115.03,0.645,0.0514,0.736
Belong To The World,0.361,307173,Kiss Land (Deluxe),2013,121.008,0.503,0.0578,0.858
Live For,0.227,222667,Kiss Land (Deluxe),2013,75.983,0.624,0.112,0.68
Wanderlust,0.0725,306773,Kiss Land (Deluxe),2013,115.923,0.637,0.0435,0.652
Kiss Land,0.4,455333,Kiss Land (Deluxe),2013,121.886,0.324,0.109,0.852
Pretty,0.328,375400,Kiss Land (Deluxe),2013,126.049,0.572,0.0397,0.685
Tears In The Rain,0.191,444653,Kiss Land (Deluxe),2013,160.01,0.655,0.0452,0.636
Wanderlust,0.477,305693,Kiss Land (Deluxe),2013,116.007,0.744,0.0407,0.599
Odd Look,0.257,252853,Kiss Land (Deluxe),2013,104.947,0.627,0.0504,0.897
High For This,0.0687,247227,Trilogy,2012,74.95,0.465,0.0755,0.403
What You Need,0.0673,196360,Trilogy,2012,133.895,0.657,0.0584,0.405
House Of Balloons / Glass Table Girls,0.319,405213,Trilogy,2012,89.019,0.65,0.0377,0.711
The Morning,0.186,312427,Trilogy,2012,120.073,0.652,0.039,0.549
Wicked Games,0.326,323747,Trilogy,2012,114.078,0.658,0.0309,0.591
The Party & The After Party,0.397,459387,Trilogy,2012,203.585,0.438,0.337,0.634
Coming Down,0.25,295453,Trilogy,2012,120.989,0.665,0.0314,0.612
Loft Music,0.0634,363640,Trilogy,2012,171.725,0.287,0.177,0.498
The Knowing,0.087,340333,Trilogy,2012,85.921,0.451,0.0303,0.573
Twenty Eight,0.243,258453,Trilogy,2012,129.996,0.639,0.0352,0.633
Lonely Star,0.15,349213,Trilogy,2012,157.97,0.458,0.0672,0.705
Life Of The Party,0.446,296227,Trilogy,2012,138.051,0.554,0.0335,0.696
Thursday,0.183,320027,Trilogy,2012,180.467,0.307,0.062,0.625
The Zone,0.254,418507,Trilogy,2012,139.886,0.619,0.0744,0.521
The Birds Pt. 1,0.22,214187,Trilogy,2012,127.937,0.571,0.0545,0.692
The Birds Pt. 2,0.0755,350640,Trilogy,2012,183.672,0.296,0.0489,0.518
Gone,0.344,486773,Trilogy,2012,107.669,0.494,0.309,0.697
Rolling Stone,0.669,230547,Trilogy,2012,129.964,0.693,0.0306,0.323
Heaven Or Las Vegas,0.183,353307,Trilogy,2012,125.025,0.524,0.0603,0.708
Valerie,0.436,286680,Trilogy,2012,148.004,0.641,0.0463,0.539
D.D. - Original,0.412,274434,Echoes Of Silence (Original),2011,119.966,0.677,0.0773,0.663
Montreal - Original,0.166,250506,Echoes Of Silence (Original),2011,183.822,0.54,0.0992,0.775
Outside - Original,0.237,259004,Echoes Of Silence (Original),2011,139.97,0.578,0.0469,0.491
XO / The Host - Original,0.235,444213,Echoes Of Silence (Original),2011,127.999,0.449,0.0549,0.717
Initiation - Original,0.718,260730,Echoes Of Silence (Original),2011,139.953,0.644,0.0655,0.691
Same Old Song - Original,0.408,312059,Echoes Of Silence (Original),2011,109.963,0.795,0.0439,0.562
The Fall - Original,0.41,345251,Echoes Of Silence (Original),2011,150.092,0.425,0.0892,0.782
Next - Original,0.509,361688,Echoes Of Silence (Original),2011,112.051,0.674,0.0403,0.671
Echoes Of Silence - Original,0.18,239995,Echoes Of Silence (Original),2011,130.688,0.356,0.0388,0.201
Lonely Star - Original,0.172,349033,Thursday (Original),2011,158.001,0.483,0.0393,0.621
Life Of The Party - Original,0.516,296286,Thursday (Original),2011,138.107,0.596,0.0269,0.553
Thursday - Original,0.207,320004,Thursday (Original),2011,179.327,0.26,0.0501,0.491
The Zone - Original,0.268,418057,Thursday (Original),2011,139.95,0.654,0.0363,0.383
